,time,soc,curr,volt
645,31:52.9,69,70.5,339.1
646,31:57.2,69,-45.7,345.9
647,32:04.9,68.5,-103.2,347.2
648,32:12.5,68.5,-45.4,345.6
649,32:20.4,69,29.7,342.2
650,32:27.9,68.5,260.6,328.1
651,32:33.3,68.5,260.6,328.1
652,32:37.7,68.5,23.7,340.5
653,32:45.4,68.5,184,332.5
654,32:56.4,68,-76.4,343.9
655,33:04.0,68,46.5,338.9
656,33:16.1,68,17.6,340
657,33:17.3,68,17.6,340
658,33:24.1,68,19,340.4
659,33:31.7,68,63.7,337.2
660,33:39.7,67.5,135.6,333
661,33:59.3,67.5,62.9,336.2
662,33:59.8,67.5,62.9,336.2
663,33:59.8,67.5,62.9,336.2
664,34:01.0,67.5,17.6,339.5
665,34:10.4,67,93.7,334.8
666,34:18.1,67,-2.4,340.1
667,34:26.0,67,18.6,338.8
668,34:33.9,67,-61.1,343.6
669,34:41.6,67,101.5,335.3
670,34:49.3,67,51.5,337.4
671,34:57.4,67,111.9,334.4
672,35:07.9,67,-48.1,342.8
673,35:22.6,67,-0.3,340.2
674,35:22.6,67,-0.3,340.2
675,35:30.1,67,121.1,334.1
676,35:37.6,66.5,123.2,333.4
677,35:45.6,66.5,130.6,332.4
678,35:53.6,66.5,-45,344
679,36:01.6,66.5,56.4,338.1
680,36:09.6,66.5,62.7,337.8
681,36:17.6,66.5,5.5,339.8
682,36:25.1,66.5,-3.1,340.8
683,36:32.6,66.5,17.4,339.7
684,36:40.1,66.5,22.7,339.5
685,36:47.7,66.5,26.2,339.9
686,36:55.2,66,85.4,335.7
687,37:02.9,66,38.9,338
688,37:10.9,66,-18,341.1
689,37:18.7,66,-37.1,342
690,37:26.1,66,-48.4,342.5
691,37:33.9,66,11.9,339.1
692,37:41.9,66,73.1,335.9
693,37:49.7,66,-42.4,342.3
694,37:59.5,66,28.7,338.6
695,38:07.0,66,28.1,338.7
696,38:15.0,65.5,10.5,339.4
697,38:23.3,65.5,10.3,339.6
698,38:33.6,65.5,12.8,339.8
699,38:41.3,65.5,15.8,339.5
700,38:48.8,65.5,-53.9,343.1
701,38:56.3,65.5,3.3,340.2
702,39:08.8,65.5,22.5,339.5
703,39:16.3,65.5,52.2,337.4
704,39:23.8,65.5,12,339.9
705,39:32.8,65.5,-2.2,340.6
706,39:40.3,65.5,-29.3,342.1
707,39:47.8,65.5,-0.5,340.7
708,39:55.4,65.5,-82.6,345
709,40:02.9,65.5,-15.2,341.9
710,40:10.3,65.5,83.9,336.2
711,40:18.1,65.5,-92.2,345.6
712,40:25.6,65.5,75,337.7
713,40:32.9,65.5,48.4,337.7
714,40:40.4,65.5,-86.1,344.8
715,40:47.9,65.5,-83.5,345.8
716,40:55.4,65.5,1.9,341.5
717,41:03.1,65.5,2.2,341.4
718,41:10.9,65.5,2,341.3
719,41:18.6,65.5,2,341.3
720,41:25.9,65.5,2,341.3
721,41:33.4,65.5,2.4,341.3
722,41:40.9,65.5,21.9,339.2
723,41:48.5,65.5,-37.9,343.3
724,41:56.0,65.5,4.4,341.2
725,42:03.8,65.5,2,341.2
726,42:11.7,65.5,1.9,341.2
727,42:23.0,65.5,25.8,339.7
728,42:30.5,65.5,-16.3,341.4
729,42:38.0,65.5,26,339.2
730,42:45.5,65.5,2.4,340.6
731,42:53.1,65.5,4.2,340.5
732,43:00.5,65,2,340.7
733,43:08.1,65,2,340.8
734,43:15.7,65,3.6,340.6
735,43:23.7,65,50.3,337.9
736,43:31.6,65,-1.3,340.4
737,43:55.2,65,-7.2,341.2
738,43:55.2,65,-7.2,341.2
739,43:55.2,65,-7.2,341.2
740,43:55.2,65,-7.2,341.2
